organization,project,project_id,location,location_id,location_buffer_m,recording_date_time,recording_id,method,aru_task_status,daily_weather_station_distance,daily_min_temp,daily_max_temp,daily_mean_temp,daily_total_rain_mm,daily_total_snow_cm,daily_precipitation_mm,daily_snow_on_ground_cm,hourly_weather_station_nm,hourly_weather_station_elevation,hourly_weather_station_distance,hourly_temp,hourly_dew_point,hourly_rel_humidity,hourly_precipitation,hourly_visibility_km,hourly_station_pressure,hourly_wind_direction,hourly_wind_speed,hourly_humidex,hourly_wind_chill,hourly_weather_attributes,date_deployed,date_retrieved,land_features,equipment,left_rms_peak_dbfs,left_rms_trough_dbfs,left_pk_count,left_dc_offset,left_min_level,left_max_level,left_rms_peak_level_dbfs,right_rms_peak_dbfs,right_rms_trough_dbfs,right_pk_count,right_dc_offset,right_min_level,right_max_level,right_peak_level_dbfs,task_url,source_file_name,observer_id
PC,General Community Waterton Lakes National Park 2021,598,WLNP-2-4,859,,2021-05-31 02:00:00,285657,180s 1SPT,Transcribed,13km,10.00,24.20,17.10,,,0.00,,WATERTON PARK GATE,1289.00m,13km,10.80,1.30,52,0.00,,,21,16,,,NA,,,,,-25.37,-52.87,2,-0.00001,-0.086716,0.109106,-19.24,-31.54,-52.89,2,-0.000006,-0.050757,0.049078,-25.89,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=264829,WLNP-2-4_20210531_020000.wav,660
PC,General Community Waterton Lakes National Park 2021,598,WLNP-15-2,57650,,2021-05-31 04:40:00,285051,180s 1SPT,Transcribed,13km,10.00,24.20,17.10,,,0.00,,WATERTON PARK GATE,1289.00m,13km,,,,,,,,,,,,,,,,-15.15,-43,2,-0.000004,-0.287809,0.371715,-8.6,-19.65,-44.34,2,-0.000008,-0.173836,0.216535,-13.29,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=264219,WLNP-15-2_20210531_044000.wav,1247
PC,General Community Waterton Lakes National Park 2021,598,WLNP-2-2,845,,2021-05-31 07:20:00,285768,180s 1SPT,Transcribed,12km,10.00,24.20,17.10,,,0.00,,WATERTON PARK GATE,1289.00m,12km,,,,,,,,,,,,,,,,-31.71,-49.58,2,-0.000003,-0.087622,0.079371,-21.15,-29.42,-50.51,2,-0.000005,-0.065309,0.061516,-23.7,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=264940,WLNP-2-2_20210531_072000.wav,1269
PC,General Community Waterton Lakes National Park 2021,598,WLNP-22-3,57640,,2021-05-31 07:20:00,285970,180s 1SPT,Transcribed,13km,10.00,24.20,17.10,,,0.00,,WATERTON PARK GATE,1289.00m,13km,,,,,,,,,,,,,,,,-30.46,-38.43,2,-0.000003,-0.109891,0.104872,-19.18,-28.67,-36.83,2,-0.000002,-0.115053,0.124165,-18.12,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=265142,WLNP-22-3_20210531_072000.wav,660
PC,General Community Waterton Lakes National Park 2021,598,WLNP-22-9,58541,,2021-05-31 07:20:00,286066,180s 1SPT,Bad Weather,15km,10.00,24.20,17.10,,,0.00,,WATERTON PARK GATE,1289.00m,15km,,,,,,,,,,,,,,,,-24.84,-44.64,2,0.002715,-0.076314,0.116234,-18.69,-37.4,-42.05,2,0.005108,-0.038562,0.047903,-26.39,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=265238,WLNP-22-9_20210531_072000.wav,660
PC,General Community Waterton Lakes National Park 2021,598,WLNP-22-9,58541,,2021-05-31 23:00:00,285980,180s 1SPT,Transcribed,15km,10.00,24.20,17.10,,,0.00,,WATERTON PARK GATE,1289.00m,15km,14.90,3.40,46,0.00,,,18,17,,,NA,,,,,-29.35,-42.34,2,0.002596,-0.060761,0.070369,-23.05,-34.62,-40.97,2,0.005182,-0.046248,0.059886,-24.45,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=265152,WLNP-22-9_20210531_230000.wav,532
PC,General Community Waterton Lakes National Park 2021,598,WLNP-15-1,58517,,2021-06-01 02:00:00,285092,180s 1SPT,Transcribed,12km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,12km,13.40,4.00,53,0.00,,,19,15,,,NA,,,,,-18,-50.27,2,-0.000006,-0.178193,0.256933,-11.8,-23.12,-49.51,2,-0.000005,-0.156924,0.106096,-16.09,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=264260,WLNP-15-1_20210601_020000.wav,1269
PC,General Community Waterton Lakes National Park 2021,598,WLNP-SUM-127,65233,,2021-06-01 02:00:00,285767,180s 1SPT,Transcribed,21km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,21km,13.40,4.00,53,0.00,,,19,15,,,NA,,,,,-13.73,-41.74,2,0.009666,-0.292633,0.338493,-9.41,-21.81,-43.92,2,0.007274,-0.134832,0.128235,-17.4,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=264939,WLNP-SUM-127_20210601_020000.wav,1247
PC,General Community Waterton Lakes National Park 2021,598,WLNP-15-1,58517,,2021-06-01 02:20:00,285061,180s 1SPT,Transcribed,12km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,12km,,,,,,,,,,,,,,,,-32.67,-49.08,2,-0.000005,-0.049026,0.054746,-25.23,-28.24,-48.43,2,-0.000006,-0.091084,0.062593,-20.81,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=264229,WLNP-15-1_20210601_022000.wav,533
PC,General Community Waterton Lakes National Park 2021,598,WLNP-SUM-127,65233,,2021-06-01 04:00:00,285677,180s 1SPT,Transcribed,21km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,21km,12.50,3.80,55,0.00,,,19,20,,,NA,,,,,-17.99,-42.02,2,0.009673,-0.183875,0.218631,-13.21,-23.13,-43.86,2,0.007477,-0.116929,0.11238,-18.64,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=264849,WLNP-SUM-127_20210601_040000.wav,1247
PC,General Community Waterton Lakes National Park 2021,598,WLNP-22-1,58536,,2021-06-01 04:20:00,286038,180s 1SPT,Transcribed,12km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,12km,,,,,,,,,,,,,,,,-25.48,-34.98,2,-0.000005,-0.139633,0.136243,-17.1,-22.25,-35.68,2,-0.000003,-0.167589,0.187109,-14.56,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=265210,WLNP-22-1_20210601_042000.wav,660
PC,General Community Waterton Lakes National Park 2021,598,WLNP-22-3,57640,,2021-06-01 04:40:00,285951,180s 1SPT,Transcribed,13km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,13km,,,,,,,,,,,,,,,,-29.67,-37.34,2,-0.000002,-0.098442,0.09785,-20.14,-27.67,-36.08,2,-0.000002,-0.121276,0.118892,-18.32,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=265123,WLNP-22-3_20210601_044000.wav,660
PC,General Community Waterton Lakes National Park 2021,598,WLNP-6-5,848,,2021-06-01 05:20:00,286098,180s 1SPT,Transcribed,19km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,19km,,,,,,,,,,,,,,,,-1.86,-37.03,2,0.026197,-0.967508,0.965085,-0.29,-9.76,-52.13,2,0.002952,-0.603543,0.620779,-4.14,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=265270,WLNP-6-5_20210601_052000.wav,533
PC,General Community Waterton Lakes National Park 2021,598,WLNP-SUM-15,65226,,2021-06-01 05:20:00,285655,180s 1SPT,Transcribed,21km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,21km,,,,,,,,,,,,,,,,-27.71,-43.02,2,0.013048,-0.039445,0.077755,-22.19,-31.54,-51.15,2,0.006442,-0.026636,0.041019,-27.74,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=264827,WLNP-SUM-15_20210601_052000.wav,1242
PC,General Community Waterton Lakes National Park 2021,598,WLNP-6-3,876,,2021-06-01 05:40:00,285965,180s 1SPT,Transcribed,21km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,21km,,,,,,,,,,,,,,,,-15.41,-33.04,2,0.028088,-0.537869,0.544158,-5.29,-30.6,-35.21,2,0.023332,-0.015283,0.061084,-24.28,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=265137,WLNP-6-3_20210601_054000.wav,660
PC,General Community Waterton Lakes National Park 2021,598,WLNP-6-1,861,,2021-06-01 06:20:00,285954,180s 1SPT,Transcribed,20km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,20km,,,,,,,,,,,,,,,,-15.67,-41.81,2,0.012475,-0.319049,0.262987,-9.92,-29.17,-52,2,0.006939,-0.037175,0.048671,-26.25,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=265126,WLNP-6-1_20210601_062000.wav,532
PC,General Community Waterton Lakes National Park 2021,598,WLNP-1-3,857,,2021-06-01 07:00:00,285259,180s 1SPT,Transcribed,21km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,21km,15.70,4.80,48,0.00,,,19,21,,,NA,,,,,-32.13,-33.86,2,0.020733,-0.019308,0.061858,-24.17,-31.38,-40.07,2,0.009902,-0.047185,0.058632,-24.64,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=264427,WLNP-1-3_20210601_070000.wav,1247
PC,General Community Waterton Lakes National Park 2021,598,WLNP-SUM-15,65226,,2021-06-01 07:00:00,285754,180s 1SPT,Transcribed,21km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,21km,15.70,4.80,48,0.00,,,19,21,,,NA,,,,,-24.51,-43.43,2,0.012939,-0.072812,0.110704,-19.12,-33.1,-52.36,2,0.006446,-0.078691,0.076406,-22.08,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=264926,WLNP-SUM-15_20210601_070000.wav,532
PC,General Community Waterton Lakes National Park 2021,598,WLNP-1-1,873,,2021-06-01 07:20:00,285029,180s 1SPT,Transcribed,21km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,21km,,,,,,,,,,,,,,,,-36.62,-46.34,2,0.002932,-0.098861,0.118253,-18.54,-30.86,-37.08,2,0.017749,-0.031229,0.076642,-22.31,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=264197,WLNP-1-1_20210601_072000.wav,1247
PC,General Community Waterton Lakes National Park 2021,598,WLNP-1-2,844,,2021-06-01 07:20:00,285207,180s 1SPT,Transcribed,21km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,21km,,,,,,,,,,,,,,,,-43.34,-48.24,2,-0.000005,-0.029216,0.028519,-30.69,-42.81,-48.76,2,-0.000005,-0.027789,0.026605,-31.12,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=264375,WLNP-1-2_20210601_072000.wav,1269
PC,General Community Waterton Lakes National Park 2021,598,WLNP-2-2,845,,2021-06-01 07:20:00,285667,180s 1SPT,Transcribed,12km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,12km,,,,,,,,,,,,,,,,-21.15,-46.61,2,-0.000004,-0.190756,0.141254,-14.39,-21.71,-48.01,2,-0.000005,-0.147637,0.133597,-16.62,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=264839,WLNP-2-2_20210601_072000.wav,533
PC,General Community Waterton Lakes National Park 2021,598,WLNP-6-4,862,,2021-06-01 07:40:00,286104,180s 1SPT,Transcribed,19km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,19km,,,,,,,,,,,,,,,,-6.2,-39.3,2,0.024362,-0.583773,0.906044,-0.86,-2.43,-36.61,2,0.029262,-0.961542,0.973474,-0.23,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=265276,WLNP-6-4_20210601_074000.wav,533
PC,General Community Waterton Lakes National Park 2021,598,WLNP-22-1,58536,,2021-06-01 08:00:00,286062,180s 1SPT,Transcribed,12km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,12km,17.90,4.90,42,0.00,,,21,20,,,NA,,,,,-28.76,-34.43,2,-0.000001,-0.146124,0.126626,-16.71,-28.5,-35.51,2,-0.000002,-0.116368,0.11989,-18.42,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=265234,WLNP-22-1_20210601_080000.wav,1257
PC,General Community Waterton Lakes National Park 2021,598,WLNP-22-3,57640,,2021-06-01 22:40:00,286015,180s 1SPT,Transcribed,13km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,13km,,,,,,,,,,,,,,,,-26.54,-36.45,2,-0.000006,-0.118595,0.11406,-18.52,-17.36,-35.01,2,-0.000005,-0.277942,0.254191,-11.12,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=265187,WLNP-22-3_20210601_224000.wav,1269
PC,General Community Waterton Lakes National Park 2021,598,WLNP-2-5,847,,2021-06-01 22:40:00,285731,180s 1SPT,Transcribed,13km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,13km,,,,,,,,,,,,,,,,-15.35,-52.01,2,-0.000004,-0.266097,0.360827,-8.85,-10.34,-49.44,2,0.000001,-0.507868,0.624832,-4.08,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=264903,WLNP-2-5_20210601_224000.wav,1242
PC,General Community Waterton Lakes National Park 2021,598,WLNP-22-5,65232,,2021-06-01 23:20:00,286011,180s 1SPT,Bad Weather,14km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,14km,,,,,,,,,,,,,,,,-18.04,-20.65,2,0.014026,-0.547044,0.529049,-5.24,-19.73,-22.63,2,-0.000873,-0.442035,0.457181,-6.8,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=265183,WLNP-22-5_20210601_232000.wav,660
PC,General Community Waterton Lakes National Park 2021,598,WLNP-SUM-12,65222,,2021-06-01 23:20:00,285699,180s 1SPT,Transcribed,21km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,21km,,,,,,,,,,,,,,,,-24.42,-36.37,2,0.027199,-0.070597,0.103832,-19.67,-20.23,-34.76,2,0.029692,-0.102666,0.178321,-14.98,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=264871,WLNP-SUM-12_20210601_232000.wav,532
PC,General Community Waterton Lakes National Park 2021,598,WLNP-1-3,857,,2021-06-02 02:00:00,285034,180s 1SPT,Transcribed,21km,13.60,29.00,21.30,,,0.00,,WATERTON PARK GATE,1289.00m,21km,14.50,6.10,57,0.00,,,19,17,,,NA,,,,,-31.77,-33.86,2,0.020567,-0.036607,0.068036,-23.35,-34.6,-38.42,2,0.009956,-0.045707,0.063747,-23.91,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=264202,WLNP-1-3_20210602_020000.wav,660
PC,General Community Waterton Lakes National Park 2021,598,WLNP-1-2,844,,2021-06-02 02:20:00,285000,180s 1SPT,Transcribed,21km,13.60,29.00,21.30,,,0.00,,WATERTON PARK GATE,1289.00m,21km,,,,,,,,,,,,,,,,-38.52,-46.12,2,-0.000005,-0.034519,0.035126,-29.09,-41.89,-47.22,2,-0.000005,-0.029133,0.032015,-29.89,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=264168,WLNP-1-2_20210602_022000.wav,660
PC,General Community Waterton Lakes National Park 2021,598,WLNP-2-5,847,,2021-06-02 02:20:00,285741,180s 1SPT,Transcribed,13km,13.60,29.00,21.30,,,0.00,,WATERTON PARK GATE,1289.00m,13km,,,,,,,,,,,,,,,,-13.21,-50.82,2,-0.000005,-0.306008,0.351892,-9.07,-8.37,-43.93,2,-0.000008,-0.679992,0.94941,-0.45,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=264913,WLNP-2-5_20210602_022000.wav,660
PC,General Community Waterton Lakes National Park 2021,598,WLNP-7-5,865,,2021-06-02 02:20:00,286044,180s 1SPT,Transcribed,4km,13.60,29.00,21.30,,,0.00,,WATERTON PARK GATE,1289.00m,4km,,,,,,,,,,,,,,,,-19.48,-37.98,2,0.023185,-0.113856,0.163918,-15.71,-23.5,-40.79,2,0.021531,-0.093796,0.110321,-19.15,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=265216,WLNP-7-5_20210602_022000.wav,660
