organization,project,project_id,location,location_id,location_buffer_m,recording_date_time,recording_id,method,aru_task_status,daily_weather_station_distance,daily_min_temp,daily_max_temp,daily_mean_temp,daily_total_rain_mm,daily_total_snow_cm,daily_precipitation_mm,daily_snow_on_ground_cm,hourly_weather_station_nm,hourly_weather_station_elevation,hourly_weather_station_distance,hourly_temp,hourly_dew_point,hourly_rel_humidity,hourly_precipitation,hourly_visibility_km,hourly_station_pressure,hourly_wind_direction,hourly_wind_speed,hourly_humidex,hourly_wind_chill,hourly_weather_attributes,date_deployed,date_retrieved,land_features,equipment,left_rms_peak_dbfs,left_rms_trough_dbfs,left_pk_count,left_dc_offset,left_min_level,left_max_level,left_rms_peak_level_dbfs,right_rms_peak_dbfs,right_rms_trough_dbfs,right_pk_count,right_dc_offset,right_min_level,right_max_level,right_peak_level_dbfs,task_url,source_file_name,observer_id
PC,General Community Waterton Lakes National Park 2020,353,WLNP-18-5,64872,,2020-06-22 15:00:00,150116,180s 1SPM,Transcribed,19km,11.90,23.30,17.60,,,0.00,,WATERTON PARK GATE,1289.00m,19km,22.60,8.60,41,0.00,,,23,25,,,NA,,,,,-2.53,-39.08,2,0.018535,-0.958612,0.953788,-0.37,-4.58,-39.32,2,0.014772,-0.953499,0.952649,-0.41,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=97650,WLNP-018-05_20200622_150000.wav,37
PC,General Community Waterton Lakes National Park 2020,353,WLNP-18-5,64872,,2020-06-22 20:46:00,150117,180s 1SPM,Transcribed,19km,11.90,23.30,17.60,,,0.00,,WATERTON PARK GATE,1289.00m,19km,,,,,,,,,,,,,,,,-25.43,-38.2,2,0.01831,-0.074708,0.087504,-21.16,-29.15,-40.66,2,0.014827,-0.067018,0.096152,-20.34,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=97651,WLNP-018-05_20200622_204600.wav,25
PC,General Community Waterton Lakes National Park 2020,353,WLNP-21-6,64863,,2020-06-22 20:46:00,149679,180s 1SPM,Bad Weather,18km,11.90,23.30,17.60,,,0.00,,WATERTON PARK GATE,1289.00m,18km,,,,,,,,,,,,,,,,-0.63,-35.93,,0.009806,-1,1,0,-0.62,-34.43,,0.027277,-1,1,0,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=97213,WLNP-021-06_20200622_204600.wav,37
PC,General Community Waterton Lakes National Park 2020,353,WLNP-21-6,64863,,2020-06-22 21:46:00,149680,180s 1SPM,Transcribed,18km,11.90,23.30,17.60,,,0.00,,WATERTON PARK GATE,1289.00m,18km,,,,,,,,,,,,,,,,-0.61,-38.11,4,0.010327,-0.993993,1,0,-0.65,-35.66,782,0.022579,-1,1,0,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=97214,WLNP-021-06_20200622_214600.wav,660
PC,General Community Waterton Lakes National Park 2020,353,WLNP-21-7,64864,,2020-06-22 21:46:00,149875,180s 1SPM,Bad Weather,19km,11.90,23.30,17.60,,,0.00,,WATERTON PARK GATE,1289.00m,19km,,,,,,,,,,,,,,,,-1.33,-24.39,233,0.013178,-1,1,0,-2.27,-26.68,2,0.023588,-0.990294,0.972549,-0.08,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=97409,WLNP021-07_20200622_214600.wav,532
PC,General Community Waterton Lakes National Park 2020,353,WLNP-21-6,64863,,2020-06-22 22:46:00,149681,180s 1SPM,Bad Weather,18km,11.90,23.30,17.60,,,0.00,,WATERTON PARK GATE,1289.00m,18km,,,,,,,,,,,,,,,,-0.76,-38.16,144,0.007867,-1,1,0,-0.63,-33.49,592,0.022302,-1,1,0,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=97215,WLNP-021-06_20200622_224600.wav,25
PC,General Community Waterton Lakes National Park 2020,353,WLNP-18-5,64872,,2020-06-23 00:00:00,150120,180s 1SPM,Transcribed,19km,14.80,27.60,21.20,,,0.00,,WATERTON PARK GATE,1289.00m,19km,16.30,7.80,57,0.00,,,22,24,,,NA,,,,,-25.46,-39.9,2,0.018088,-0.059679,0.092477,-20.68,-22.35,-42.08,2,0.015012,-0.132241,0.115642,-17.57,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=97654,WLNP-018-05_20200623_000000.wav,532
PC,General Community Waterton Lakes National Park 2020,353,WLNP-18-8,64873,,2020-06-23 00:00:00,150316,180s 1SPM,Transcribed,21km,14.80,27.60,21.20,,,0.00,,WATERTON PARK GATE,1289.00m,21km,16.30,7.80,57,0.00,,,22,24,,,NA,,,,,-0.74,-34.38,2,0.020531,-0.972784,0.976806,-0.2,-0.92,-35.64,2,-0.004144,-0.986756,0.990962,-0.08,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=97850,WLNP-018-08_20200623_000000.wav,533
PC,General Community Waterton Lakes National Park 2020,353,WLNP-21-7,64864,,2020-06-23 00:00:00,149877,180s 1SPM,Transcribed,19km,14.80,27.60,21.20,,,0.00,,WATERTON PARK GATE,1289.00m,19km,16.30,7.80,57,0.00,,,22,24,,,NA,,,,,-7.64,-24.37,2,0.013153,-0.932552,0.766701,-0.61,-6.47,-26.68,2,0.023516,-0.963468,0.751239,-0.32,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=97411,WLNP021-07_20200623_000000.wav,22
PC,General Community Waterton Lakes National Park 2020,353,WLNP-18-6,58530,,2020-06-23 01:00:00,150514,180s 1SPM,Transcribed,20km,14.80,27.60,21.20,,,0.00,,WATERTON PARK GATE,1289.00m,20km,15.70,7.60,58,0.00,,,18,16,,,NA,,,,,-1.14,-35.08,2,0.01749,-0.987835,0.996579,-0.03,-2.17,-33.39,2,0.033304,-0.953934,0.96944,-0.27,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=98048,WLNP-018-06_20200623_010000.wav,533
