organization,project,project_id,location,location_id,location_buffer_m,recording_date_time,recording_id,method,aru_task_status,daily_weather_station_distance,daily_min_temp,daily_max_temp,daily_mean_temp,daily_total_rain_mm,daily_total_snow_cm,daily_precipitation_mm,daily_snow_on_ground_cm,hourly_weather_station_nm,hourly_weather_station_elevation,hourly_weather_station_distance,hourly_temp,hourly_dew_point,hourly_rel_humidity,hourly_precipitation,hourly_visibility_km,hourly_station_pressure,hourly_wind_direction,hourly_wind_speed,hourly_humidex,hourly_wind_chill,hourly_weather_attributes,date_deployed,date_retrieved,land_features,equipment,left_rms_peak_dbfs,left_rms_trough_dbfs,left_pk_count,left_dc_offset,left_min_level,left_max_level,left_rms_peak_level_dbfs,right_rms_peak_dbfs,right_rms_trough_dbfs,right_pk_count,right_dc_offset,right_min_level,right_max_level,right_peak_level_dbfs,task_url,source_file_name,observer_id
PC,General Community Waterton Lakes National Park 2018,10,WLNP-7-1,849,,2018-06-08 21:39:00,6956,180s 1SPM,Transcribed,4km,10.50,24.70,17.60,,,0.00,,WATERTON PARK GATE,1289.00m,4km,,,,,,,,,,,,,,,,-28.37,-37.66,2,0.016878,-0.127694,0.15759,-16.05,-26.63,-39.12,2,0.018207,-0.117337,0.146375,-16.69,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=9959,WLNP-007-001_20180608_213900.wav,19
PC,General Community Waterton Lakes National Park 2018,10,WLNP-7-4,850,,2018-06-08 21:39:00,7068,180s 1SPM,Transcribed,3km,10.50,24.70,17.60,,,0.00,,WATERTON PARK GATE,1289.00m,3km,,,,,,,,,,,,,,,,-31.19,-43.34,2,0.008575,-0.084494,0.097096,-20.26,-27.38,-34.15,2,0.024709,-0.070781,0.123726,-18.15,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=9935,WLNP-007-004_20180608_213900.wav,41
PC,General Community Waterton Lakes National Park 2018,10,WLNP-7-5,865,,2018-06-08 21:39:00,7037,180s 1SPM,Transcribed,4km,10.50,24.70,17.60,,,0.00,,WATERTON PARK GATE,1289.00m,4km,,,,,,,,,,,,,,,,-34.8,-36.96,2,0.015696,-0.00478,0.035314,-29.04,-31.2,-32.89,2,0.024685,-0.003115,0.047421,-26.48,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=9904,WLNP-007-005_20180608_213900.wav,22
PC,General Community Waterton Lakes National Park 2018,10,WLNP-7-2,863,,2018-06-08 22:39:00,7035,180s 1SPM,Transcribed,4km,10.50,24.70,17.60,,,0.00,,WATERTON PARK GATE,1289.00m,4km,,,,,,,,,,,,,,,,-27.08,-35.08,2,0.026571,-0.010106,0.086576,-21.25,-22.79,-34.09,2,0.030833,-0.038423,0.126846,-17.93,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=9902,WLNP-007-002_20180608_223900.wav,22
PC,General Community Waterton Lakes National Park 2018,10,WLNP-4-3,871,,2018-06-09 05:19:00,85250,180s 1SPM,Transcribed,9km,5.40,24.40,14.90,,,0.00,,WATERTON PARK GATE,1289.00m,9km,,,,,,,,,,,,,,,,-21.34,-33.33,2,0.028232,-0.149045,0.206342,-13.71,-23.32,-32.79,2,0.031049,-0.097198,0.159757,-15.93,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=17688,WLNP-004-003_20180609_051900.wav,11
PC,General Community Waterton Lakes National Park 2018,10,WLNP-4-4,870,,2018-06-10 04:49:00,6957,180s 1SPM,Transcribed,8km,5.50,12.00,8.70,,,0.00,,WATERTON PARK GATE,1289.00m,8km,,,,,,,,,,,,,,,,-15.58,-42.4,2,0.016739,-0.271269,0.258712,-11.33,-16.63,-42.15,2,0.017151,-0.376882,0.231209,-8.48,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=9960,WLNP-004-004_20180610_044900.wav,27
PC,General Community Waterton Lakes National Park 2018,10,WLNP-4-5,851,,2018-06-10 04:49:00,7000,180s 1SPM,Transcribed,9km,5.50,12.00,8.70,,,0.00,,WATERTON PARK GATE,1289.00m,9km,,,,,,,,,,,,,,,,-11.5,-42.04,2,0.012119,-0.488124,0.433804,-6.23,-11.47,-44.97,2,0.006667,-0.467833,0.49174,-6.17,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=10003,WLNP-004-005_20180610_044900.wav,23
PC,General Community Waterton Lakes National Park 2018,10,WLNP-7-2,863,,2018-06-10 04:49:00,7062,180s 1SPM,Transcribed,4km,5.50,12.00,8.70,,,0.00,,WATERTON PARK GATE,1289.00m,4km,,,,,,,,,,,,,,,,-22.58,-34.33,2,0.026686,-0.129854,0.126649,-17.73,-26.18,-32.18,2,0.030927,-0.155829,0.119945,-16.15,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=9929,WLNP-007-002_20180610_044900.wav,39
PC,General Community Waterton Lakes National Park 2018,10,WLNP-7-4,850,,2018-06-10 04:49:00,6968,180s 1SPM,Transcribed,3km,5.50,12.00,8.70,,,0.00,,WATERTON PARK GATE,1289.00m,3km,,,,,,,,,,,,,,,,-15.05,-44.07,2,0.009,-0.317797,0.33538,-9.49,-8.86,-37.48,2,0.025427,-0.398629,0.615389,-4.22,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=9971,WLNP-007-004_20180610_044900.wav,25
PC,General Community Waterton Lakes National Park 2018,10,WLNP-7-5,865,,2018-06-10 04:49:00,6960,180s 1SPM,Bad Weather,4km,5.50,12.00,8.70,,,0.00,,WATERTON PARK GATE,1289.00m,4km,,,,,,,,,,,,,,,,-26.66,-40.79,2,0.01601,-0.154728,0.197111,-14.11,-26.52,-36.28,2,0.025008,-0.236048,0.375257,-8.51,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=9963,WLNP-007-005_20180610_044900.wav,27
PC,General Community Waterton Lakes National Park 2018,10,WLNP-4-1,856,,2018-06-10 05:19:00,7059,180s 1SPM,Bad Weather,8km,5.50,12.00,8.70,,,0.00,,WATERTON PARK GATE,1289.00m,8km,,,,,,,,,,,,,,,,-0.8,-33.61,78,0.032582,-0.993523,1,0,-0.67,-37.18,356,0.025508,-1,1,0,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=9926,WLNP-004-001_20180610_051900.wav,39
PC,General Community Waterton Lakes National Park 2018,10,WLNP-4-2,877,,2018-06-10 05:19:00,6979,180s 1SPM,Transcribed,8km,5.50,12.00,8.70,,,0.00,,WATERTON PARK GATE,1289.00m,8km,,,,,,,,,,,,,,,,-8.03,-37.09,2,0.030923,-0.865704,0.738899,-1.25,-6.01,-33.1,2,0.04123,-0.59275,0.938099,-0.56,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=9982,WLNP-004-002_20180610_051900.wav,42
