tbl_Point_Locations,,,,,,,,,,,,,,,
PointLocationID,ParkID,Transect,PointID,OldSiteID,YearStart,YearEnd,Active,Datum,UTM Zone,UTM Easting,UTM Northing,Elevation,Ecoregion,Comments,TransectID
465,WLNP,Akamina,94,,2008,,Yes,Nad 88,11,715038,5434858,1800,Lower Subalpine,,12
466,WLNP,Akamina,95,,2008,,Yes,Nad 89,11,714927,5435150,1831,Lower Subalpine,,12
481,WLNP,Crandell Lake,100,,2007,2007,Yes,NAD 83,12,283455,5442377,1475,Montane,,11
482,WLNP,Crandell Lake,101,,2007,2007,Yes,NAD 83,12,283531,5442096,1482,Montane,,11
483,WLNP,Crandell Lake,102,,2007,2007,Yes,NAD 83,12,283392,5441834,1511,Lower Subalpine,,11
484,WLNP,Crandell Lake,103,,2007,2007,Yes,NAD 83,12,283202,5441609,1547,Lower Subalpine,,11
485,WLNP,Crandell Lake,104,,2007,2007,Yes,NAD 83,12,283178,5441311,1557,Lower Subalpine,,11
486,WLNP,Crandell Lake,105,,2007,2007,Yes,NAD 83,12,283274,5441029,1580,Lower Subalpine,,11
508,WLNP,Lower Rowe Trail,106,,2007,2007,No,NAD 83,11,716910,5438475,1787,Lower Subalpine,,10
509,WLNP,Lower Rowe Trail,107,,2007,2007,No,NAD 83,11,,,,,,10
510,WLNP,Lower Rowe Trail,108,,2007,2007,No,NAD 83,11,713793,5437905,,Upper Subalpine,,10
511,WLNP,Lower Rowe Trail,109,,2007,2007,No,NAD 83,11,713579,5438173,2227,Upper Subalpine,,10
512,WLNP,Lower Rowe Trail,110,,2007,2007,No,NAD 83,11,717367,5438517,1783,Lower Subalpine,,10
727,WLNP,Eskerine,110,,2014,,Yes,NAD 83,12,291346,5443770,1350,Foothills Grassland,,13
513,WLNP,Lower Rowe Trail,111,,2007,2007,No,NAD 83,11,,,,,,10
726,WLNP,Eskerine,111,,2014,,Yes,NAD 83,12,291204,5443561,1354,Foothills Grassland,,13
514,WLNP,Lower Rowe Trail,112,,2007,2007,No,NAD 83,11,,,,,,10
725,WLNP,Eskerine,112,,2014,,Yes,NAD 83,12,291032,5443369,1344,Foothills Grassland,,13
515,WLNP,Lower Rowe Trail,113,,2007,2007,No,NAD 83,11,,,,,,10
724,WLNP,Eskerine,113,,2014,,Yes,NAD 83,12,290868,5443004,1340,Foothills Grassland,,13
516,WLNP,Lower Rowe Trail,114,,2007,2007,No,NAD 83,11,,,,,,10
723,WLNP,Eskerine,114,,2014,,Yes,NAD 83,12,290745,5442859,1342,Foothills Grassland,,13
517,WLNP,Lower Rowe Trail,115,,2007,2007,No,NAD 83,11,715567,5438000,1931,Lower Subalpine,,10
722,WLNP,Eskerine,115,,2014,,Yes,NAD 83,12,290738,5442643,1330,Foothills Grassland,,13
518,WLNP,Lower Rowe Trail,116,,2007,2007,No,NAD 83,11,715268,5437963,1935,Lower Subalpine,,10
721,WLNP,Eskerine,116,,2014,,Yes,NAD 83,12,290549,5442147,1325,Foothills Grassland,,13
519,WLNP,Lower Rowe Trail,117,,2007,2007,No,NAD 83,11,714509,5438030,1996,Upper Subalpine,,10
