organization,location,location_id,project,project_id,recording_date_time,recording_id,recording_length,scientific_name,species_common_name,species_code,start_s,end_s,confidence,is_species_allowed_in_project,version
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2021,598,2021-06-02 02:40:00,285065,180,*NOT GENERATED/FOUND*,,,,,,f,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2021,598,2021-06-03 07:20:00,285173,180,Pheucticus melanocephalus,,,0.00,3.00,26.1,f,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2021,598,2021-06-03 07:20:00,285173,180,Pheucticus ludovicianus,Rose-breasted Grosbeak,RBGR,0.00,3.00,26.3,t,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2021,598,2021-06-03 07:20:00,285173,180,Spinus pinus,Pine Siskin,PISI,6.00,9.00,51.0,t,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2021,598,2021-06-03 07:20:00,285173,180,Orochelidon murina,,,6.00,9.00,26.2,f,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2021,598,2021-06-03 07:20:00,285173,180,Myioborus pictus,Painted Redstart,PARE,6.00,9.00,37.1,t,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2021,598,2021-06-03 07:20:00,285173,180,Xanthotis macleayanus,,,36.00,39.00,27.3,f,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2021,598,2021-06-03 07:20:00,285173,180,Pheucticus melanocephalus,,,36.00,39.00,34.3,f,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2021,598,2021-06-03 07:20:00,285173,180,Pheucticus melanocephalus,,,45.00,48.00,29.2,f,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2021,598,2021-06-03 07:20:00,285173,180,Pheucticus melanocephalus,,,51.00,54.00,28.1,f,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2021,598,2021-06-03 07:20:00,285173,180,Spizella pallida,Clay-colored Sparrow,CCSP,78.00,81.00,25.2,t,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2021,598,2021-06-03 22:40:00,284997,180,*NOT GENERATED/FOUND*,,,,,,f,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2021,598,2021-06-05 06:00:00,285011,180,*NOT GENERATED/FOUND*,,,,,,f,lite
