prjct_d,locatin,year,elevation,slope,aspect,TPI,northness
10,WLNP-1-1,2018,1799,30.826498930354468,278.9859736299025,-119.71697786399704,0.15619266798705356
10,WLNP-1-2,2018,1728,15.653811543403828,285.01287961986446,-184.65857945342395,0.25903617074057267
10,WLNP-1-3,2018,1686,9.01097055164267,286.0886109975919,-214.26288215874843,0.27712366838129826
10,WLNP-2-1,2018,1476,8.177037166565471,52.298500905647735,-241.87247031531388,0.6115477416536669
10,WLNP-2-2,2018,1451,14.620931814792732,48.032584286536064,-273.27740300967616,0.668707869421007
10,WLNP-2-3,2018,1514,5.728833847671159,87.75665542264737,-206.03571319556795,0.03914374601056541
10,WLNP-2-4,2018,1559,16.774190398030484,84.58416350041789,-180.39095265712285,0.09438348211112849
10,WLNP-2-5,2018,1579,15.080357991969574,19.614495168442478,-176.3255089893471,0.9419725572799611
10,WLNP-2-6,2018,1543,13.174795478268498,87.75492253389486,-183.6119776563596,0.0391739674271814
10,WLNP-3-1,2018,1562,5.395335976829907,312.7259157636366,-10.490674887823843,0.678492013676393
10,WLNP-4-1,2018,1331,2.7036469587341827,132.72956826586312,-142.4505662220322,-0.6785388422137703
10,WLNP-4-2,2018,1370,14.657662039695577,114.31010508913546,-99.5224809987485,-0.4116750937356505
10,WLNP-4-3,2018,1334,11.069218661402497,107.74115463904853,-130.53597265040753,-0.3047172638919365
10,WLNP-4-4,2018,1347,13.858420244328713,116.04306405393466,-117.70849485668941,-0.43904656507492723
10,WLNP-4-5,2018,1324,10.242370690056807,121.42439601119362,-144.43252647965573,-0.5213730186089189
10,WLNP-5-1,2018,1659,4.778552438939184,87.89697141930947,-57.17627667043121,0.03669653185981687
10,WLNP-5-2,2018,1683,7.676496581780613,80.79094284575349,-58.56573364671408,0.16003722939334494
10,WLNP-5-3,2018,1574,2.13606840267316,24.530472698369987,-0.908580324165996,0.9097405880370071
10,WLNP-5-4,2018,1606,10.203886636954872,66.15261259532117,-10.22041451726136,0.40430189049408755
10,WLNP-5-5,2018,1631,9.899050120968168,71.24243279160011,0.005952199261400892,0.32156452611991476
10,WLNP-6-1,2018,2008,13.531755442745654,143.95190391678486,67.69572826346348,-0.8085233018767456
10,WLNP-6-4,2018,2181,23.146456646244395,157.1137776337015,201.36706201725747,-0.921278949650146
10,WLNP-6-5,2018,2245,26.01686431468308,185.60319697508066,253.4681206467269,-0.9952219535271772
10,WLNP-7-1,2018,1285,2.70358685604604,312.77632409793,-36.164646988797585,0.6791380526136835
10,WLNP-7-2,2018,1285,2.7035859689773853,312.77717726919894,-36.337199719178216,0.6791489824310999
10,WLNP-7-3,2018,1282,0.9578648200768364,267.85267969606286,-36.21192881780166,-0.03746903654579872
10,WLNP-7-4,2018,1285,0.9578603772029839,267.8627708515777,-34.64714141814966,-0.03729303575262059
10,WLNP-7-5,2018,1283,0.957864225885595,267.85404720225466,-35.53777357223521,-0.037445185809548476
10,WLNP-8-1,2018,1294,0.0,-0.0,-73.48548579103203,1.0
10,WLNP-8-2,2018,1290,1.3525480814897395,222.9334965925281,-132.84255669851336,-0.7321448066215756
10,WLNP-8-3,2018,1339,8.063127823100317,312.7710440537301,-151.09181648911817,0.6790704076062128
10,WLNP-8-4,2018,1433,10.582059738702139,294.3560622772841,-116.85836818167945,0.41240594344113135
