locatin,year,landCover_2016,landCover_2019
AKAMINA-95,2021,210,33
BLAKISTON-FAN-162,2021,100,100
BLAKISTON-FAN-163,2021,100,100
BLAKISTON-FAN-164,2021,100,100
BLAKISTON-FAN-165,2021,100,100
BLAKISTON-FAN-166,2021,100,100
BLAKISTON-FAN-167,2021,100,100
BLAKISTON-FAN-168,2021,100,100
BLAKISTON-FAN-169,2021,100,100
CAMERON-LAKE-1,2021,210,210
CAMERON-LAKE-124,2021,210,210
CAMERON-LAKE-3,2021,210,210
CAMERON-LAKE-4,2021,210,33
CAMERON-LAKE-5,2021,210,210
CAMERON-LAKE-6,2021,210,210
CARDSTON-ENTRANCE-550,2021,100,100
CARDSTON-ENTRANCE-551,2021,100,100
CARDSTON-ENTRANCE-552,2021,100,100
CARDSTON-ENTRANCE-553,2021,100,100
CARDSTON-ENTRANCE-554,2021,100,100
CARDSTON-ENTRANCE-555,2021,100,100
CARDSTON-ENTRANCE-556,2021,100,100
CARDSTON-ENTRANCE-557,2021,100,100
CARDSTON-GATE-SOUTH-150,2021,100,100
CARDSTON-GATE-SOUTH-151,2021,100,100
CARDSTON-GATE-SOUTH-152,2021,100,100
CARDSTON-GATE-SOUTH-153,2021,100,100
CARDSTON-GATE-SOUTH-154,2021,100,100
CRANDELL-LAKE-100,2021,210,210
CRANDELL-LAKE-101,2021,210,100
CRANDELL-LAKE-102,2021,210,33
CRANDELL-LAKE-103,2021,210,50
CRANDELL-LAKE-104,2021,210,33
CRANDELL-LAKE-105,2021,210,50
ESKERINE-110,2021,100,100
ESKERINE-111,2021,100,100
ESKERINE-112,2021,100,100
ESKERINE-113,2021,50,50
ESKERINE-114,2021,50,50
ESKERINE-115,2021,100,100
ESKERINE-116,2021,100,100
ESKERINE-117,2021,100,100
ESKERINE-118,2021,100,100
ESKERINE-119,2021,100,100
HORSESHOE-BASIN-41,2021,50,50
HORSESHOE-BASIN-42,2021,50,50
HORSESHOE-BASIN-43,2021,220,220
HORSESHOE-BASIN-44,2021,50,100
HORSESHOE-BASIN-45,2021,50,50
HORSESHOE-BASIN-46,2021,50,50
HORSESHOE-BASIN-47,2021,50,50
HORSESHOE-BASIN-48,2021,220,100
HORSESHOE-BASIN-49,2021,50,50
HORSESHOE-BASIN-50,2021,50,50
LOWER-MOUNT-CRANDELL-18,2021,230,50
LOWER-MOUNT-CRANDELL-19,2021,100,100
LOWER-MOUNT-CRANDELL-20,2021,220,50
LOWER-MOUNT-CRANDELL-21,2021,210,50
LOWER-MOUNT-CRANDELL-22,2021,50,50
LOWER-MOUNT-CRANDELL-23,2021,220,50
LOWER-MOUNT-CRANDELL-24,2021,210,210
LOWER-MOUNT-CRANDELL-70,2021,50,50
LOWER-MOUNT-CRANDELL-71,2021,50,50
LOWER-MOUNT-CRANDELL-72,2021,100,100
PRAIRIE-TRAIL-575,2021,50,100
PRAIRIE-TRAIL-576,2021,100,100
PRAIRIE-TRAIL-577,2021,100,100
PRAIRIE-TRAIL-578,2021,100,100
PRAIRIE-TRAIL-579,2021,100,100
PRAIRIE-TRAIL-580,2021,100,100
PRAIRIE-TRAIL-581,2021,100,100
PRAIRIE-TRAIL-582,2021,100,100
PRAIRIE-TRAIL-583,2021,100,100
PRAIRIE-TRAIL-584,2021,100,100
SOFA-MOUNTAIN-25,2021,210,210
SOFA-MOUNTAIN-26,2021,210,210
SOFA-MOUNTAIN-27,2021,210,210
SOFA-MOUNTAIN-28,2021,210,210
SOFA-MOUNTAIN-29,2021,220,220
SOFA-MOUNTAIN-30,2021,50,50
SOFA-MOUNTAIN-31,2021,50,50
SOFA-MOUNTAIN-32,2021,50,50
SOFA-MOUNTAIN-80,2021,220,220
SOFA-MOUNTAIN-81,2021,50,50
STONEY-FLATS-156,2021,50,50
STONEY-FLATS-157,2021,100,100
STONEY-FLATS-158,2021,50,50
STONEY-FLATS-159,2021,100,100
STONEY-FLATS-160,2021,100,100
STONEY-FLATS-161,2021,100,100
SUMMIT-LAKE-11,2021,210,33
SUMMIT-LAKE-12,2021,210,33
SUMMIT-LAKE-120,2021,210,33
SUMMIT-LAKE-121,2021,50,33
SUMMIT-LAKE-122,2021,50,33
SUMMIT-LAKE-123,2021,210,33
SUMMIT-LAKE-125,2021,210,33
SUMMIT-LAKE-126,2021,210,33
SUMMIT-LAKE-127,2021,210,210
SUMMIT-LAKE-128,2021,50,33
SUMMIT-LAKE-129,2021,33,33
SUMMIT-LAKE-15,2021,210,33
SUMMIT-LAKE-16,2021,210,33
SUMMIT-LAKE-9,2021,210,33
WISHBONE-TRAIL-33,2021,80,80
WISHBONE-TRAIL-34,2021,80,80
WISHBONE-TRAIL-35,2021,80,80
WISHBONE-TRAIL-36,2021,80,80
WISHBONE-TRAIL-37,2021,220,220
WISHBONE-TRAIL-38,2021,220,220
WISHBONE-TRAIL-39,2021,220,220
WISHBONE-TRAIL-40,2021,220,220
WISHBONE-TRAIL-60,2021,220,220
WISHBONE-TRAIL-61,2021,220,220
YARROW-CABIN-TRAIL-567,2021,210,210
YARROW-CABIN-TRAIL-568,2021,210,210
YARROW-CABIN-TRAIL-569,2021,210,210
YARROW-CABIN-TRAIL-570,2021,210,210
YARROW-CABIN-TRAIL-571,2021,210,210
YARROW-CABIN-TRAIL-572,2021,210,210
YARROW-CABIN-TRAIL-573,2021,210,210
YARROW-CABIN-TRAIL-574,2021,210,210
YARROW-CABIN-TRAIL-590,2021,50,50
Blakiston Fan_162,2015,100,100
Blakiston Fan_162,2016,100,100
Blakiston Fan_162,2017,100,100
Blakiston Fan_163,2015,100,100
Blakiston Fan_163,2016,100,100
Blakiston Fan_163,2017,100,100
Blakiston Fan_164,2015,100,100
Blakiston Fan_164,2016,100,100
Blakiston Fan_164,2017,100,100
Blakiston Fan_165,2015,100,100
Blakiston Fan_165,2016,100,100
Blakiston Fan_165,2017,100,100
Blakiston Fan_166,2015,100,100
Blakiston Fan_166,2016,100,100
Blakiston Fan_166,2017,100,100
Blakiston Fan_167,2015,100,100
Blakiston Fan_167,2016,100,100
Blakiston Fan_167,2017,100,100
Blakiston Fan_168,2015,100,100
Blakiston Fan_168,2016,100,100
Blakiston Fan_168,2017,100,100
Blakiston Fan_169,2015,100,100
Blakiston Fan_169,2016,100,100
Blakiston Fan_169,2017,100,100
Cameron Lake_1,2007,210,210
Cameron Lake_1,2009,210,210
Cameron Lake_1,2010,210,210
Cameron Lake_1,2014,210,210
Cameron Lake_1,2015,210,210
Cameron Lake_124,2009,100,100
Cameron Lake_124,2010,100,100
Cameron Lake_124,2014,100,100
Cameron Lake_124,2015,100,100
Cameron Lake_3,2007,210,210
Cameron Lake_3,2009,210,210
Cameron Lake_3,2010,210,210
Cameron Lake_3,2014,210,210
Cameron Lake_3,2015,210,210
Cameron Lake_4,2007,210,33
Cameron Lake_4,2009,210,33
Cameron Lake_4,2010,210,33
Cameron Lake_4,2014,210,33
Cameron Lake_4,2015,210,33
Cameron Lake_5,2009,210,210
Cameron Lake_5,2010,210,210
Cameron Lake_5,2014,210,210
Cameron Lake_5,2015,210,210
Cameron Lake_6,2007,210,210
Cameron Lake_6,2009,210,210
Cameron Lake_6,2010,210,210
Cameron Lake_6,2014,210,210
